Form Name,Form Code,Description,Category 1,Filing Type 1
N-400,N-400,Application for Naturalization,Filing Guidance,Online
EOIR-29,EOIR-29,Notice of Appeal to the Board of Immigration Appeals from a Decision of a DHS Officer,Filing Guidance,Paper
G-28,G-28,Notice of Entry of Appearance as Attorney or Accredited Representative,Filing Guidance,Paper
I-9,I-9,Employment Eligibility Verification,Verification,Paper
I-765,I-765,Application for Employment Authorization,Filing Guidance,Online
I-140,I-140,Immigrant Petition for Alien Workers,Filing Guidance,Paper
AR-11,AR-11,Alien’s Change of Address Card,Filing Guidance,Online
N-400,N-400,Application for Naturalization,Filing Guidance,Online
EOIR-29,EOIR-29,Notice of Appeal to the Board of Immigration Appeals from a Decision of a DHS Officer,Filing Guidance,Paper
G-28,G-28,Notice of Entry of Appearance as Attorney or Accredited Representative,Filing Guidance,Paper
I-9,I-9,Employment Eligibility Verification,Verification,Paper
I-765,I-765,Application for Employment Authorization,Filing Guidance,Online
I-140,I-140,Immigrant Petition for Alien Workers,Filing Guidance,Paper
AR-11,AR-11,Alien’s Change of Address Card,Filing Guidance,Online