Drive Name,Unusual Noises,Disk,Drive Type,Yr,GB,Health Status,Use Case,Reallocated Sectors (1),Seek Errors,read Error Rate,Cache,RPM,Notes,Outcome,Age,Available GB,Letter,Model,Physical,Read/Write Errors,Serial Number,Size,Tests,Used GB,Volumne
QiEos — Q:,Yes,0,Volume,2017,432.319939136505,Critical,App-Dev,,,,,,,Recycle,,,,,,,,,,,
Qi-Vector — V:,Yes,0,Volume,2017,434.927642345429,Critical,VectorStorage,,,,,,,Recycle,,,,,,,,,,,
Qi-Vector (V:)/QiEos,Yes,0,HDD,2017,931.513389587402,Critical,light storage.,140,253,14,32,"5,200","sounded like a v8 trying to get out of a hole. ",,,,,,,,,,,
Qi-Kb -- K:,No,1,Volume,2017,572.763383388519,Healthy,Knowledgebase,,,,,,,,,,,,,,,,,,
Qi-Dev — D:,No,1,Volume,2017,295.229256153107,Healthy,Development,,,,,,,,,,,,,,,,,,
Qi-Kb — K:,No,1,HDD,2017,931.513389587402,Healthy,General-purpose storage,,,,,,,,,,,,,,,,,,
Qi-Stream — S:,No,2,Volume,2017,1184.80995297432,Healthy,Video Files,,,,,,,,,,,,,,,,,,
Qi-GDrive — G:,No,2,Volume,2017,550.244003534317,Healthy,Streaming,,,,,,,,,,,,,,,,,,
Seagate ST2000DM008-2FR102,No,2,HDD,2017,1863.01668548584,Healthy,General-purpose storage,,0,0,,"7,200",,,,,,,,,,,,
EFI System Partition,No,3,Recovery,2020,0.000931322575,Healthy,EFI,,,,,,,,,,,,,,,,,,
Recovery Small,No,3,Recovery,2020,0.046566128731,Healthy,recovery,,,,,,,,,,,,,,,,,,
Recovery,No,3,Recovery,2020,0.076275318861,Healthy,recovery,,,,,,,,,,,,,,,,,,
Qi-OS — C:,No,3,Volume,2020,442.428514361382,Healthy,os,,,,,,,,,,,,,,,,,,
NVME SSD 512GB,No,3,SSD,2020,476.939781188965,Healthy,os,,,,,,,,,,,,,,,,,,
NVME SSD 512GB,No,3,SSD,Recovery (https://www.notion.so/Recovery-26df84a044028075a3e4fc44a13c9c66?pvs=21),476.939781188965,Healthy,os,,,Recovery Small (https://www.notion.so/Recovery-Small-26df84a0440280a29c82e87c9eab72a0?pvs=21),,,,,3,,C:,,,,A843_9700_0000_2521.,512110190592,,,"Qi-OS — C: (https://www.notion.so/Qi-OS-C-26df84a044028012b3f8f7486e9398d6?pvs=21)
Qi-Vector (V:)/QiEos,,0,HDD,"Qi-Vector — V: (https://www.notion.so/Qi-Vector-V-26df84a0440280d6b6abebe62c86019b?pvs=21),931.513389587402,Critical,Yes,,140,QiEos — Q: (https://www.notion.so/QiEos-Q-26df84a04402807fbd4bedc70590845f?pvs=21)",32,"5,"sounded like a v8 trying to get out of a hole. ",Recycle,6,924,V/Q,WDC WD1003FBYX-18Y7B0,,200",253,WD-WCAW34793852,1000204886016,light storage.,8
Qi-Kb — K:,No,1,HDD,Qi-Kb -- K: (https://www.notion.so/Qi-Kb-K-26df84a04402800ababff7721c8c23e5?pvs=21)",931.513389587402,Healthy,General-purpose storage,,,2017,,,,,6,944,D/K,WDC WD10EZEX-08WN4A0,,," WD-WCC6Y6YVSYF7",1000204886016,,56,"Qi-Dev — D: (https://www.notion.so/Qi-Dev-D-26df84a04402803e845fc61249ec6894?pvs=21)
Seagate ST2000DM008-2FR102,,2,HDD,"Qi-GDrive — G: (https://www.notion.so/Qi-GDrive-G-26df84a04402800dbe48df192a3b407d?pvs=21),1863.01668548584,Healthy,No,0,,Qi-Stream — S: (https://www.notion.so/Qi-Stream-S-26df84a0440280cca6e5cc88efad51de?pvs=21)",,"7,,,6,,G/S,,,200",0,ZFL29R36,2000398934016,General-purpose storage,
Qi-Vector — V:,Yes,0,Volume,2017,434.927642345429,Critical,VectorStorage,,,,,,,Recycle,6,,V:,,Qi-Vector (V:)/QiEos (https://www.notion.so/Qi-Vector-V-QiEos-26df84a04402801387d4c2aabf17040e?pvs=21),,WD-WCAW34793852,467000000000,,,
Qi-OS — C:,No,3,Volume,2020,442.428514361382,Healthy,os,,,,,,,,3,,C:,,NVME SSD 512GB (https://www.notion.so/NVME-SSD-512GB-26df84a044028084886dec695e709acd?pvs=21),,A843_9700_0000_2521.,475054000000,,,
Qi-Dev — D:,No,1,Volume,2017,295.229256153107,Healthy,Development,,,,,,,,6,,D:,,Qi-Kb — K: (https://www.notion.so/Qi-Kb-K-26df84a04402807683dde29adce0ed39?pvs=21),," WD-WCC6Y6YVSYF7",317000000000,,,
Qi-GDrive — G:,No,2,Volume,2017,550.244003534317,Healthy,Streaming,,,,,,,,6,,G/S,,Seagate ST2000DM008-2FR102 (https://www.notion.so/Seagate-ST2000DM008-2FR102-26df84a04402803ba7e8d1c57fdac94d?pvs=21),,ZFL29R36,590820000000,,,
Qi-Stream — S:,No,2,Volume,2017,1184.80995297432,Healthy,Video Files,,,,,,,,6,,G/S,,Seagate ST2000DM008-2FR102 (https://www.notion.so/Seagate-ST2000DM008-2FR102-26df84a04402803ba7e8d1c57fdac94d?pvs=21),,ZFL29R36,1272180000000,,,
QiEos — Q:,Yes,0,Volume,2017,432.319939136505,Critical,App-Dev,,,,,,,Recycle,6,,Q:,,Qi-Vector (V:)/QiEos (https://www.notion.so/Qi-Vector-V-QiEos-26df84a04402801387d4c2aabf17040e?pvs=21),,WD-WCAW34793852,464200000000,,,
Recovery,No,3,Recovery,2020,0.076275318861,Healthy,recovery,,,,,,,,3,,None,,NVME SSD 512GB (https://www.notion.so/NVME-SSD-512GB-26df84a044028084886dec695e709acd?pvs=21),,A843_9700_0000_2521.,81900000,,,
Recovery Small,No,3,Recovery,2020,0.046566128731,Healthy,recovery,,,,,,,,3,,None,,NVME SSD 512GB (https://www.notion.so/NVME-SSD-512GB-26df84a044028084886dec695e709acd?pvs=21),,A843_9700_0000_2521.,50000000,,,
EFI System Partition,No,3,Recovery,2020,0.000931322575,Healthy,EFI,,,,,,,,3,,None,,NVME SSD 512GB (https://www.notion.so/NVME-SSD-512GB-26df84a044028084886dec695e709acd?pvs=21),,A843_9700_0000_2521.,1000000,,,
Qi-Kb -- K:,No,1,Volume,2017,572.763383388519,Healthy,Knowledgebase,,,,,,,,6,,K:,,Qi-Kb — K: (https://www.notion.so/Qi-Kb-K-26df84a04402807683dde29adce0ed39?pvs=21),," WD-WCC6Y6YVSYF7",615000000000,,,
NVME SSD 512GB,No,3,SSD,Recovery (Recovery%2026df84a044028075a3e4fc44a13c9c66.md),476.939781188965,Healthy,os,,,Recovery Small (Recovery%20Small%2026df84a0440280a29c82e87c9eab72a0.md),,,,,3,,C:,,,,A843_9700_0000_2521.,512110190592,,,"Qi-OS — C: (Qi-OS%20%E2%80%94%20C%2026df84a044028012b3f8f7486e9398d6.md)
Qi-Vector (V:)/QiEos,,0,HDD,"Qi-Vector — V: (Qi-Vector%20%E2%80%94%20V%2026df84a0440280d6b6abebe62c86019b.md),931.513389587402,Critical,Yes,,140,QiEos — Q: (QiEos%20%E2%80%94%20Q%2026df84a04402807fbd4bedc70590845f.md)",32,"5,"sounded like a v8 trying to get out of a hole. ",Recycle,6,924,V/Q,WDC WD1003FBYX-18Y7B0,,200",253,WD-WCAW34793852,1000204886016,light storage.,8
Qi-Kb — K:,No,1,HDD,Qi-Kb -- K: (Qi-Kb%20--%20K%2026df84a04402800ababff7721c8c23e5.md)",931.513389587402,Healthy,General-purpose storage,,,2017,,,,,6,944,D/K,WDC WD10EZEX-08WN4A0,,," WD-WCC6Y6YVSYF7",1000204886016,,56,"Qi-Dev — D: (Qi-Dev%20%E2%80%94%20D%2026df84a04402803e845fc61249ec6894.md)
Seagate ST2000DM008-2FR102,,2,HDD,"Qi-GDrive — G: (Qi-GDrive%20%E2%80%94%20G%2026df84a04402800dbe48df192a3b407d.md),1863.01668548584,Healthy,No,0,,Qi-Stream — S: (Qi-Stream%20%E2%80%94%20S%2026df84a0440280cca6e5cc88efad51de.md)",,"7,,,6,,G/S,,,200",0,ZFL29R36,2000398934016,General-purpose storage,
Qi-Vector — V:,Yes,0,Volume,2017,434.927642345429,Critical,VectorStorage,,,,,,,Recycle,6,,V:,,Qi-Vector (V:)/QiEos (Qi-Vector%20(V%20)%20QiEos%2026df84a04402801387d4c2aabf17040e.md),,WD-WCAW34793852,467000000000,,,
Qi-OS — C:,No,3,Volume,2020,442.428514361382,Healthy,os,,,,,,,,3,,C:,,NVME SSD 512GB (NVME%20SSD%20512GB%2026df84a044028084886dec695e709acd.md),,A843_9700_0000_2521.,475054000000,,,
Qi-Dev — D:,No,1,Volume,2017,295.229256153107,Healthy,Development,,,,,,,,6,,D:,,Qi-Kb — K: (Qi-Kb%20%E2%80%94%20K%2026df84a04402807683dde29adce0ed39.md),," WD-WCC6Y6YVSYF7",317000000000,,,
Qi-GDrive — G:,No,2,Volume,2017,550.244003534317,Healthy,Streaming,,,,,,,,6,,G/S,,Seagate ST2000DM008-2FR102 (Seagate%20ST2000DM008-2FR102%2026df84a04402803ba7e8d1c57fdac94d.md),,ZFL29R36,590820000000,,,
Qi-Stream — S:,No,2,Volume,2017,1184.80995297432,Healthy,Video Files,,,,,,,,6,,G/S,,Seagate ST2000DM008-2FR102 (Seagate%20ST2000DM008-2FR102%2026df84a04402803ba7e8d1c57fdac94d.md),,ZFL29R36,1272180000000,,,
QiEos — Q:,Yes,0,Volume,2017,432.319939136505,Critical,App-Dev,,,,,,,Recycle,6,,Q:,,Qi-Vector (V:)/QiEos (Qi-Vector%20(V%20)%20QiEos%2026df84a04402801387d4c2aabf17040e.md),,WD-WCAW34793852,464200000000,,,
Recovery,No,3,Recovery,2020,0.076275318861,Healthy,recovery,,,,,,,,3,,None,,NVME SSD 512GB (NVME%20SSD%20512GB%2026df84a044028084886dec695e709acd.md),,A843_9700_0000_2521.,81900000,,,
Recovery Small,No,3,Recovery,2020,0.046566128731,Healthy,recovery,,,,,,,,3,,None,,NVME SSD 512GB (NVME%20SSD%20512GB%2026df84a044028084886dec695e709acd.md),,A843_9700_0000_2521.,50000000,,,
EFI System Partition,No,3,Recovery,2020,0.000931322575,Healthy,EFI,,,,,,,,3,,None,,NVME SSD 512GB (NVME%20SSD%20512GB%2026df84a044028084886dec695e709acd.md),,A843_9700_0000_2521.,1000000,,,
Qi-Kb -- K:,No,1,Volume,2017,572.763383388519,Healthy,Knowledgebase,,,,,,,,6,,K:,,Qi-Kb — K: (Qi-Kb%20%E2%80%94%20K%2026df84a04402807683dde29adce0ed39.md),," WD-WCC6Y6YVSYF7",615000000000,,,