Name,Status,Tags,Due Date,AI Estimates,Replacement Value,Status 2
Phillips Monitors 27” Curved,Not started,Vianey & Carlos,,299.00,$299.00,Damaged
Phillips Monitors 27” Curved,Not started,Vianey & Carlos,,299,$299.00,Damaged
Amazon Echos x 2,Not started,Vianey & Carlos,,199.99,$199.99,Missing
iPad Pro,Not started,Vianey & Carlos,,1299,"$1,299.00"
iPad,Not started,Vianey & Carlos,,500,$500.00,Missing
HP Computer,Not started,Vianey & Carlos,,899.99,$899.99,Missing
Portable 2nd Monitor,Not started,Vianey & Carlos,,250.00,$250.00,Missing
32” Roku TV,Not started,Vianey & Carlos,,299.00,$299.00,Missing
32” Roku TV,Not started,Vianey & Carlos,,299,$299.00,Missing
50” TV Roku,Not started,Vianey & Carlos,,500,$500.00,Missing
Ryobi Leaf Blower and Battery,Not started,Vianey & Carlos,,159.99,$159.99,Missing
50” TV Roku,Not started,Vianey & Carlos,,500,$500.00,Missing
32” Roku TV,Not started,Vianey & Carlos,,299.00,$299.00,Missing
Ryobi Leaf Blower and Battery,Not started,Vianey & Carlos,,159.99,$159.99,Missing
32” Roku TV,Not started,Vianey & Carlos,,299,$299.00,Missing
Portable 2nd Monitor,Not started,Vianey & Carlos,,250.00,$250.00,Missing
HP Computer,Not started,Vianey & Carlos,,899.99,$899.99,Missing
iPad,Not started,Vianey & Carlos,,500,$500.00,Missing
iPad Pro,299.00",Missing,,1299,"$1,Not started
Amazon Echos x 2,Not started,Vianey & Carlos,,199.99,$199.99,Missing
Phillips Monitors 27” Curved,Not started,Vianey & Carlos,,299,$299.00,Damaged
Phillips Monitors 27” Curved,Not started,Vianey & Carlos,,299.00,$299.00,Damaged