Issue,Created time,Days open,Description,Due date,Priority,Status,Type,UUID
,"September 23,2025 10:48 PM",46 days,,,,Open,
New issue 3,"September 23,2025 10:38 PM",Issue Closed,,"December 8,2024",Low,Resolved
New issue 2,"September 23,2025 10:38 PM",Issue Closed,,"February 27,2025",Medium,In progress
In file management,"September 23,2025 5:49 PM",46 days,"the interface is still internally focused for clients. It should automatically assign the client user as the client and only show documents from their tenant/client user. In settings,clients can currently see API integrations and database cleanup options,but they should only see options to update their own avatar,address,phone number
Calendar also displays as a blank page.,"September 23,2025 5:49 PM",46 days,,,,Open,
"Analytics ","September 23,2025 5:48 PM",46 days,"is viewable to clients but they don't need to see this. They won't need to see reports unless I create specific sub-reports for clients,which we can address later.",,,Open
"Invoices ","September 23,2025 5:47 PM",46 days,currently display a blank screen for clients.,,,Open,
"Clients can click on financials ","September 23,2025 5:46 PM",46 days,"but see a blank page. The financials they should see would be data imported from their QuickBooks or manually entered via tables and forms to provide an overview of their business,tax liabilities,money I've saved them,payments to me,outstanding balances
"Clients can see time tracking ","September 23,2025 5:46 PM",46 days,but shouldn't need this feature. Time tracking is for me to monitor how much time I'm spending on their projects and determine if additional billing is necessary.,,,Open,
"The communication section for clients should be restricted ","September 23,2025 5:46 PM",46 days,"to interacting with me (the admin) only. Clients should not be able to create communication channels or message other clients. This section should function solely for client-admin communication and documentation of messages,chats,and meetings. We need to implement a solution that provides clients with this limited communication functionality while maintaining appropriate boundaries.",,
"The system currently allows clients to create other clients,which is inappropriate. This is not their CRM system—it's intended to be a single source of truth for my services and their business performance. Clients should not have the ability to create or manage other client accounts. This permission should be restricted to admin users only.","September 23,2025 5:45 PM",46 days,,,,Open
"The system currently allows clients to add tasks,which is not desired. While tasks should be associated with a project,clients should not create tasks directly. Instead:","September 23,2025 5:44 PM",46 days,,,
"When creating a user under ZZTop,they cannot see projects already created for ZZTop (despite being listed as the user). These users can currently create projects,which is undesired. Clients should only be able to view and complete tasks assigned to them,and view tasks marked for client visibility. The default visibility should be admin-only. We need to add functionality to restrict client permissions appropriately.","September 23,2025 5:41 PM",46 days,,
"Users (clients) should only see the client assistant,not the admin assistant. The admin assistant should be visible only to me (the admin) and have access to all system information. The client assistant should be visible to both me and the client,but should only access information available to that specific client.","September 23,2025 5:37 PM",46 days,,,